Procedure Code,Procedure,Note
B+,"1. Butterworth with ambient temperature sea water for 1 hour
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
B-,"1. Butterworth with ambient temperature sea water for 1 hour
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
BA,"1. Butterworth with ambient temperature sea water for 1,5 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry",
BA+,"1. Butterworth with ambient temperature sea water for 1,5 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
BA-,"1. Butterworth with ambient temperature sea water for 1,5 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
BB,"1. Butterworth with ambient temperature sea water for 2 hours (Extended cleaning time due to toxicity)
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry",
BB+,"1. Butterworth with ambient temperature sea water for 2 hours (Extended cleaning time due to toxicity)
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
BB-,"1. Butterworth with ambient temperature sea water for 2 hours (Extended cleaning time due to toxicity)
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
BC,"1. Butterworth with sea water at 45 °C to 50 °C for 1,5 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry",
BC+,"1. Butterworth with sea water at 45 °C to 50 °C for 1,5 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
BC-,"1. Butterworth with sea water at 45 °C to 50 °C for 1,5 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
BD,"Product is liable to polymerization. Violent chemical reaction possible. Usually inhibited for transport and storage

1. Butterworth with ambient temperature sea water for 2 hours (Ambient temperature due to polymerization, Extended cleaning time due to toxicity)
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Optional Recirculation in fresh water at 50 °C to 60 °C for 1,5 hours and use one of these cleaners:
- Inhibitor remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)",
BD+,"Product is liable to polymerization. Violent chemical reaction possible. Usually inhibited for transport and storage

1. Butterworth with ambient temperature sea water for 2 hours (Ambient temperature due to polymerization, Extended cleaning time due to toxicity)
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Optional Recirculation in fresh water at 50 °C to 60 °C for 1,5 hours and use one of these cleaners:
- Inhibitor remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
BD-,"Product is liable to polymerization. Violent chemical reaction possible. Usually inhibited for transport and storage

1. Butterworth with ambient temperature sea water for 2 hours (Ambient temperature due to polymerization, Extended cleaning time due to toxicity)
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Optional Recirculation in fresh water at 50 °C to 60 °C for 1,5 hours and use one of these cleaners:
- Inhibitor remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
BE,"Product is liable to polymerization. Violent chemical reaction possible. Usually inhibited for transport and storage

1. Butterworth with ambient temperature sea water for 1,5 hours (Ambient temperature due to polymerization)
2. Butterworth with sea water at 50 °C to 60 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 50 °C to 60 °C for 1,5 hours and use one of these cleaners:
- Inhibitor remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)",
BE+,"Product is liable to polymerization. Violent chemical reaction possible. Usually inhibited for transport and storage

1. Butterworth with ambient temperature sea water for 1,5 hours (Ambient temperature due to polymerization)
2. Butterworth with sea water at 50 °C to 60 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 50 °C to 60 °C for 1,5 hours and use one of these cleaners:
- Inhibitor remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
BE-,"Product is liable to polymerization. Violent chemical reaction possible. Usually inhibited for transport and storage

1. Butterworth with ambient temperature sea water for 1,5 hours (Ambient temperature due to polymerization)
2. Butterworth with sea water at 50 °C to 60 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 50 °C to 60 °C for 1,5 hours and use one of these cleaners:
- Inhibitor remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
C,"1. Butterworth with ambient temperature sea water for 40 minutes (For products with a melting point above 0°C keep the temperature 10-15°C above the melting point.)
2. Butterworth with sea water at 50 °C to 55 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry",
C+,"1. Butterworth with ambient temperature sea water for 40 minutes (For products with a melting point above 0°C keep the temperature 10-15°C above the melting point.)
2. Butterworth with sea water at 50 °C to 55 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
C-,"1. Butterworth with ambient temperature sea water for 40 minutes (For products with a melting point above 0°C keep the temperature 10-15°C above the melting point.)
2. Butterworth with sea water at 50 °C to 55 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
CA,"1. Butterworth with ambient temperature sea water for 1,5 hours
2. Butterworth with sea water at 50 °C to 55 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry",
CA+,"1. Butterworth with ambient temperature sea water for 1,5 hours
2. Butterworth with sea water at 50 °C to 55 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
CA-,"1. Butterworth with ambient temperature sea water for 1,5 hours
2. Butterworth with sea water at 50 °C to 55 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
CB,"1. Butterworth with ambient temperature sea water for 1,5 hours
2. Butterworth with sea water at 50 °C to 55 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry",
CB+,"1. Butterworth with ambient temperature sea water for 1,5 hours
2. Butterworth with sea water at 50 °C to 55 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
CB-,"1. Butterworth with ambient temperature sea water for 1,5 hours
2. Butterworth with sea water at 50 °C to 55 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
CD,"1. Butterworth with sea water at 60 °C to 65 °C for 1,5 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry",
CD+,"1. Butterworth with sea water at 60 °C to 65 °C for 1,5 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
CD-,"1. Butterworth with sea water at 60 °C to 65 °C for 1,5 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
CE,"1. Butterworth with sea water at 20 °C to 30 °C for 1,5 hours
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry",
CE+,"1. Butterworth with sea water at 20 °C to 30 °C for 1,5 hours
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
CE-,"1. Butterworth with sea water at 20 °C to 30 °C for 1,5 hours
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
CF,"1. Butterworth with ambient temperature sea water for 40 minutes
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry",
CF+,"1. Butterworth with ambient temperature sea water for 40 minutes
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
CF-,"1. Butterworth with ambient temperature sea water for 40 minutes
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
D,"1. Butterworth with ambient temperature sea water for 1 hour (For products with a melting point above 0°C keep the temperature 10-15°C above the melting point.)
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry",
D+,"1. Butterworth with ambient temperature sea water for 1 hour (For products with a melting point above 0°C keep the temperature 10-15°C above the melting point.)
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
D-,"1. Butterworth with ambient temperature sea water for 1 hour (For products with a melting point above 0°C keep the temperature 10-15°C above the melting point.)
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
DA,"1. Butterworth with ambient temperature sea water for 1,5 hours
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry",
DA+,"1. Butterworth with ambient temperature sea water for 1,5 hours
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
DA-,"1. Butterworth with ambient temperature sea water for 1,5 hours
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
DB,"1. Butterworth with ambient temperature sea water for 40 minutes
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)",
DB+,"1. Butterworth with ambient temperature sea water for 40 minutes
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
DB-,"1. Butterworth with ambient temperature sea water for 40 minutes
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
DD,"1. Butterworth with sea water at 50 °C to 55 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry",
DD+,"1. Butterworth with sea water at 50 °C to 55 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
DD-,"1. Butterworth with sea water at 50 °C to 55 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
DE,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry",
DE+,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
DE-,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
DF,"1. Butterworth with sea water at 35 °C to 40 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry",
DF+,"1. Butterworth with sea water at 35 °C to 40 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
DF-,"1. Butterworth with sea water at 35 °C to 40 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
DG,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1 hour and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry",
DG+,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1 hour and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
DG-,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1 hour and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
DH,"Various different types of products with low or higher boiling points. For products with higher boiling points a removal of residual hydrocarbons might be necessary (see optional recirculation)

1. Butterworth with ambient temperature sea water for 40 minutes
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)",
DH+,"Various different types of products with low or higher boiling points. For products with higher boiling points a removal of residual hydrocarbons might be necessary (see optional recirculation)

1. Butterworth with ambient temperature sea water for 40 minutes
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
DH-,"Various different types of products with low or higher boiling points. For products with higher boiling points a removal of residual hydrocarbons might be necessary (see optional recirculation)

1. Butterworth with ambient temperature sea water for 40 minutes
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
E,"The combination of seawater and caustic could result in the formation of white deposits on the tank walls. A Metalbright/Rust Remover can be used for their removal.

1. Butterworth with sea water or fresh water at 40 °C to 45 °C for 1,5 hours (Use initially fresh water)
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)",
E+,"The combination of seawater and caustic could result in the formation of white deposits on the tank walls. A Metalbright/Rust Remover can be used for their removal.

1. Butterworth with sea water or fresh water at 40 °C to 45 °C for 1,5 hours (Use initially fresh water)
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
E-,"The combination of seawater and caustic could result in the formation of white deposits on the tank walls. A Metalbright/Rust Remover can be used for their removal.

1. Butterworth with sea water or fresh water at 40 °C to 45 °C for 1,5 hours (Use initially fresh water)
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
EA,"Clean with fresh water only because the combination of sodium silicate and sea water will result in the formation of white deposits on tank walls. Flush the tank immediately after discharge !! If cargo dries on bulkheads it will turn to water glass.

1. Butterworth with ambient temperature fresh water for 1,5 hours (Use fresh water only)
2. Vent, mop and dry
3. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)",
EA+,"Clean with fresh water only because the combination of sodium silicate and sea water will result in the formation of white deposits on tank walls. Flush the tank immediately after discharge !! If cargo dries on bulkheads it will turn to water glass.

1. Butterworth with ambient temperature fresh water for 1,5 hours (Use fresh water only)
2. Vent, mop and dry
3. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)
4. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
EA-,"Clean with fresh water only because the combination of sodium silicate and sea water will result in the formation of white deposits on tank walls. Flush the tank immediately after discharge !! If cargo dries on bulkheads it will turn to water glass.

1. Butterworth with ambient temperature fresh water for 1,5 hours (Use fresh water only)
2. Vent, mop and dry
3. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)
4. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
F,"1. Butterworth with ambient temperature fresh water for 20 minutes (Use initially fresh water)
2. Butterworth with ambient temperature sea water for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry",
F+,"1. Butterworth with ambient temperature fresh water for 20 minutes (Use initially fresh water)
2. Butterworth with ambient temperature sea water for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
F-,"1. Butterworth with ambient temperature fresh water for 20 minutes (Use initially fresh water)
2. Butterworth with ambient temperature sea water for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
FA,"1. Butterworth with sea water at 25 °C to 35 °C for 1,5 hours (Keep temperature 20/25°C above the melting point)
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry",
FA+,"1. Butterworth with sea water at 25 °C to 35 °C for 1,5 hours (Keep temperature 20/25°C above the melting point)
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
FA-,"1. Butterworth with sea water at 25 °C to 35 °C for 1,5 hours (Keep temperature 20/25°C above the melting point)
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry
4. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
FB,"Caution. Diluting concentrated acids with water will result in a strongly exothermic reaction (the water temperature may increase to over 300°C). To avoid any damage to the stainless steel, initially introduce an excess abundance of water into the tank, using additional BW-machines and water hoses where required. Preferably use fresh water for the initial cleaning to avoid further corrosion damage to the stainless steel.

1. Butterworth with ambient temperature sea water or fresh water for 20 minutes (use preferably fresh water)
2. Butterworth with ambient temperature sea water for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry (Check passivation of stainless steel)",
